Address,Name,Size,Length,SCR,Description,Category,Docs
004FF900,Filename for Lastreplay,12,1,,"Contains the string ""LastReplay"".  How to trans...",Game,Event
004FF90C,Replay Speed Limiters,4,7,,The speed in milliseconds to spend each frame during a repl...,Game,Time
004FF928,Replay Command Table,16,2,,"Contains the replay commands ""show"" and ""hid...",Game,Event
004FF948,Replay show command modifiers,32,12,,Contains sub-commands and leaderboard values to use in the ...,Game,Event
004FFAD0,Menu Info Array,12,27,,"Contains the menu index, background index, and menu path.",Client,UI
004FFC20,Campaign List Info,8,85,,Contains the campaign listing info.  WORD gluHist.tbl inde...,Game,Map
004FFF60,Establishing shot pointers,8,65,,64 entries defining campaign mission prologue/establishing ...,Game,Map
0050C000,cInit Constructor Function Table,4,310,,Standard C-Runtime. Generated by Visual C++.,Engine,Memory
005122A0,Campaign list pointers,4,6,,Pointer to memory location of details of first mission in S...,Game,Map
005122B8,Current Cinematic ID,4,1,,An index for the currently playing cinematic.,Game,State
005124D8,Game Speed Refresh Rate,4,7,Simple Data,Contains the value in milliseconds required for each frame....,Game,Time
005124F4,Replay Speed Refresh Rate,4,7,,Contains the time in milliseconds spent each frame. Array i...,Game,Time
00512510,Image Update Functions,8,18,,An array of image functions. The array is officially called...,Client,Render
005125A0,Image Drawing Functions,12,18,,This corresponds to a value in images.dat. The official nam...,Client,Render
00512678,Active Nation ID,4,1,Backed By Code,This is the same as Human ID unless you are playing Team Me...,Player,Metadata
0051267C,Active Human ID,4,1,Backed By Code,This is your player ID. The official name for this is g_Act...,Player,Metadata
00512680,Active Storm ID,4,1,Unsupported,"This is your active storm ID, which is different from your ...",Player,Metadata
00512684,Local Nation ID,4,1,Backed By Code,The official name for this is g_LocalNationID.  P1: 00 P...,Player,Metadata
00512688,Local Human ID,4,1,,The official name for this is g_LocalHumanID.,Player,Metadata
0051268C,Local Storm ID,4,1,Unsupported,The official name for this is g_LocalStormID.,Player,Metadata
00512690,Cinematic File Name Array,4,28,,Contains string pointers for the file names of all game cin...,Game,Map
00512700,Race Filename Modifiers,8,1,,"Contains 3 bytes ""ztp"" used when loading race-spe...",Game,Map
00512708,Cursor Filename Array,4,19,,Contains pointers to a string for each cursor image.,Client,UI
00512754,Cursor Scroll Type Modifiers,2,10,Unsupported,Contains the index for the cursor used for scrolling.,Client,UI
005127DC,Tileset Color Cycle Pointers,4,9,,Contains pointers to the tileset color cycle data. Array in...,Client,Render
00512800,Trigger Action Function Array,4,60,,Contains function pointers for all trigger actions.,Game,Event
00513B68,Mouse and Keyboard Scroll Speed,7,7,Supported,"Edited by PereC, 2021.04.12 For SC:R, In menu - Options -...",Client,Input
00513B68,Mouse Scroll Speed Array,7,7,Supported,Amount of Mouse Scroll Speed. Array index dependent on mous...,Client,Input
00514178,Unit Reqs data,1090,1,Simple Data,Packed list of opcodes/parameters for data requirements.  ...,Game,Rule
005145C0,Upgrade Reqs data,838,1,Simple Data,,Player,Upgrade
00514908,Research Req Data,318,1,Simple Data,%$& none  How to translate. % �?�� $ ?�국 @ �?..,Player,Upgrade
00514A48,Tech Use Req Data,688,1,Simple Data,,Player,Upgrade
00514CF8,Order Req Data,1316,1,Simple Data,,Order,Core
00515A98,Trigger Condition Function Array,4,24,,Contains function pointers for all trigger conditions.,Game,Event
00515B84,Damage type/factor multipliers vs unit size,20,5,Simple Data,"$ Weapon damage type, against each unit size (�??�닛 �?..",Combat,Damage
00515BE8,Button info,11264,1,Backed By Code,https://docs.google.com/spreadsheets/d/195jZK7Ap71eO1-qdVsk...,Client,UI
005187E8,s_button Offset,12,250,Backed By Code,+0x00 (EPD -116447) Number of available buttons. 0 = Butt...,Client,UI
005193A0,Unit Infomation,12,228,See Description,"Edited by PereC, 2021-06-05 In SC:R, 64-bit starcraft may ...",Engine,Struct
00519E50,Mission Briefing Action Function Array,4,10,,Contains function pointers for all mission briefing actions.,Game,Event
0051A280,Player 1 Trigger List,4,3,Backed By Code,,Game,Event
0051A28C,Player 2 Trigger List,4,3,Backed By Code,,Game,Event
0051A298,Player 3 Trigger List,4,3,Backed By Code,,Game,Event
0051A2A4,Player 4 Trigger List,4,3,Backed By Code,,Game,Event
0051A2B0,Player 5 Trigger List,4,3,Backed By Code,,Game,Event
0051A2BC,Player 6 Trigger List,4,3,Backed By Code,,Game,Event
0051A2C8,Player 7 Trigger List,4,3,Backed By Code,,Game,Event
0051A2D4,Player 8 Trigger List,4,3,Backed By Code,,Game,Event
0051CA14,Last Random Number,4,1,Simple Data,"Randomization seed for the next random number, mask with 0x...",Game,State
0051CE84,Network Mode Delay,4,1,Read Only,"1 in single player, 2 in LAN, 5 on battle.net.  Described...",Game,Event
0051CE88,Network Mode Delay 2,4,1,,Appears to be a duplicate of 0x0051CE84. Not sure which val...,Game,Event
0051CE8C,Inverse System Time,4,1,,Value : -GetTickCount()  (about 10ms error) Used for inpu...,Game,Time
0051CE98,Fog of War Update Counter,4,1,Simple Data,Set to 0 to update FoW.  Toggle between 0 and 1 in separa...,Player,Vision
0051CED0,GRP Array,4,999,Read Only,Pointer to each GRP for each images.dat entry,Client,Render
0051F2A8,Images Attack Overlay Array,4,999,Read Only,Pointer to LO? handles for all images.dat entries.,Client,Render
00520244,Images Damage Overlay Array,4,999,Read Only,Pointer to LO? handles for all images.dat entries.,Client,Render
005211E0,Images Special Overlay Array,4,999,Read Only,Pointer to LO? handles for all images.dat entries.,Client,Render
0052217C,Images Landing Dust Overlay Array,4,999,Read Only,Pointer to LO? handles for all images.dat entries.,Client,Render
00523118,Images Liftoff Dust Overlay Array,4,999,Read Only,Pointer to LO? handles for all images.dat entries.,Client,Render
005240D0,Images Damage Overlay Frame,1,999,Simple Data,,Client,Render
0052E5C8,Images Shield Overlay Array,4,999,,Pointer to shield LOS handles for all images.dat entries.,Client,Render
0052F568,Images Array,64,5000,Read Only,The array of images currently processed in the game.,Client,Render
0057EB68,First Image Pointer,4,1,Read Only,Pointer to the first CImage instance.,Client,Render
0057EB70,Last Image Pointer,4,1,Read Only,Pointer to the last CImage instance.,Client,Render
0057EE7C,Player Human IDs,4,8,Unsupported,The Human ID for each player.,Player,Metadata
0057EE9C,Player Name,25,1,Unsupported,If you are playing as 'asdf' then you will find o...,Player,Metadata
0057EEC0,Player Nation IDs,4,8,Unsupported,The Nation ID for each player.,Player,Metadata
0057EEE0,Active Player Structures,36,12,Backed By Code,"A structure for each player containing their HumanID, Storm...",Player,Metadata
0057F090,Network Provider Latency Calls,4,1,,A value used by the network provider(standard.snp) for dela��,Game,Event
0057F094,Last Whisper Player,25,1,,The name of the player that last whispered you (in-game onl...,Player,Metadata
0057F0B0,Vision Filter,4,1,,A shared vision filter used for changing the player's ...,Player,Vision
0057F0B4,Multiplayer Mode,4,1,Read Only,A boolean value that specifies if the game is Single or Mul...,Game,Rule
0057F0B8,Network Player Status Array,4,8,Unsupported,An array containing flags for each player's network st...,Game,Event
0057F0D8,Network Maximum Buffer Size,4,1,,A value indicating the maximum size for the command buffer ...,Game,Event
0057F0DC,Main Menu Dialog Handle,4,1,Unsupported,A handle to the main menu BIN dialog.,Client,UI
0057F0F0,Player Minerals,4,12,Simple Data,The current amount of minerals the player has.,Player,Resource
0057F120,Player Gas,4,12,Simple Data,The current amount of gas the player has.,Player,Resource
0057F150,Player Total Gas Harvested,4,12,Simple Data,The total gas the player has ever harvested,Player,Resource
0057F180,Player Total Minerals Harvested,4,12,Simple Data,The total minerals the player has ever harvested,Player,Resource
0057F1B0,Starting Player Local ID,4,1,Simple Data,,Player,Metadata
0057F1B4,Player Slot Types,1,12,Simple Data,,Player,Metadata
0057F1C0,Player Slot Races,1,12,Simple Data,,Player,Metadata
0057F1CC,Team Game Main Player,1,4,Simple Data,,Player,Metadata
0057F1D0,Screen Tile Position,2,2,Simple Data,,Client,Camera
0057F1D4,MapSize,2,2,Simple Data,2byte Width 2byte Height  width + 65536*height,Game,Map
0057F1D8,Messsage Send To Filter,2,2,Simple Data,,Client,Input
0057F1DA,Message Player Filter,2,2,Simple Data,Should be within the previous entry,Client,Input
0057F1DC,Tileset,2,1,Simple Data,The current tileset ID being used.  Changing to 1 will tu...,Game,Map
0057F1DE,Current Music,2,2,Simple Data,,Game,State
0057F1E0,BWGame Unk_f0,1,1,Simple Data,,Game,State
0057F1E1,Active Player Count,1,1,Simple Data,The number of active players in the game.,Player,Metadata
0057F1E2,Console Index,1,1,Simple Data,A value indicating which console GUI should be displayed. ...,Game,State
0057F1E3,Is Custom Single Player,1,1,Simple Data,,Game,Rule
0057F1E4,BWGame unk_f4,4,1,Simple Data,,Game,State
0057F1E8,BWGame unk_f8,4,1,Simple Data,,Game,State
0057F1EC,Shared Vision,4,12,Simple Data,The shared vision values for each player.  StarCraft does...,Player,Vision
0057F21C,Player Color Mapping,4,8,Simple Data,A mapping of the player's colors.,Player,Metadata
0057F23C,Elapsed Time,4,1,Simple Data,"The elapsed game time (in game ticks, ~42ms per tick on fas...",Game,Time
0057F240,Saved Elapsed Seconds,4,1,Simple Data,,Game,Time
0057F244,Campaign Index,2,1,Simple Data,A value indicating which campaign is being played.,Game,State
0057F246,Next Scenario name,32,1,Simple Data,"The name of the next scenario, set using the Set Next Scena...",Game,Map
0057F266,Single Player Race,1,1,Simple Data,,Player,Metadata
0057F267,Single Player Computer Races,1,8,Simple Data,,Player,Metadata
0057F26F,BWGame unk_17F,1,1,Simple Data,,Game,State
0057F270,Saved Screen Positions,4,3,Simple Data,Pos 1: -11325 X + 65536*Y  Pos 2: -11324 X + 65536*Y  ...,Client,Camera
0057F27C,Player Units available,228,12,Simple Data,"1 row of 228 bytes, 1 per unit, per player  The u8 value ...",Player,Resource
0057FD2C,BWGame unk_c3c,1,8,Simple Data,,Game,State
0057FD34,Last Event Position,4,2,Simple Data,A POINT structure containing the position of the last event...,Client,Camera
0057FD3C,Map File Name,260,1,Simple Data,The current map's file name.,Game,Map
0057FE40,Map Title,32,1,Simple Data,The current map's title.,Game,Map
0057FE60,Hotkeyed Unit,864,8,Simple Data,Purpose   To detect the hotkey and then the slot that a ...,Client,Selection
00581960,BWGame unk_2870,1,1024,Simple Data,,Game,State
00581D60,Default Message Filter,1,1,Simple Data,Controls who you chat with when pressing Enter. (To Allies:...,Client,Input
00581D61,Player Lose Type,1,1,Simple Data,,Player,State
00581D62,Player Left,1,8,Simple Data,,Player,State
00581D6A,Player Selection Circle Colors,1,12,Simple Data,Each byte sets the color of the selection circle: 000 - Gr...,Client,Selection
00581D76,Unit Color Table,8,12,Simple Data,Each byte corresponds to a palette index used for each play...,Client,Render
00581DD6,Minimap Color Table,1,12,Simple Data,Each byte references a palette index. This table is immedi...,Client,Render
00581DE2,BWGame unk_2cf2,1,2,Simple Data,,Game,State
00581DE4,Score Total Units Produced,4,12,Simple Data,"Appears to be flipped; units owned, and not produced.",Player,Resource
00581E14,Score Units Produced,4,12,Simple Data,"Appears to be flipped; units owned, and not produced.",Player,Resource
00581E44,Score Units Owned,4,12,Simple Data,"Appears to be flipped; to be units produced, and not owned.",Player,Resource
00581E74,Number of Units Lost,4,12,Simple Data,"Deaths for ""Any Unit"" stored here.",Player,Resource
00581EA4,Number of Units Killed,4,12,Simple Data,"Kills for ""Any Unit"" stored here.",Player,Resource
00581ED4,Score Unit Total,4,12,Simple Data,,Player,Resource
00581F04,Score Kill Total,4,12,Simple Data,,Player,Resource
00581F34,Score Structures Constructed Total,4,12,Simple Data,,Player,Resource
00581F64,Number of Buildings Constructed,4,12,Simple Data,,Player,Resource
00581F94,Number of Buildings Owned,4,12,Simple Data,,Player,Resource
00581FC4,Number of Buildings Lost,4,12,Simple Data,"Deaths for ""Buildings"" stored here.",Player,Resource
00581FF4,Number of Buildings Razed,4,12,Simple Data,"Kills for ""Buildings"" stored here.",Player,Resource
00582024,Buildings Score,4,12,Simple Data,"Score for ""Buildings"", or buildings produced.",Player,Resource
00582054,Razings Score,4,12,Simple Data,"Score for ""Razings"", or buildings killed.",Player,Resource
00582084,Number of Factories Constructed,4,12,Simple Data,,Player,Resource
005820B4,Number of Factories Owned,4,12,Simple Data,,Player,Resource
005820E4,Number of Factories Lost,4,12,Simple Data,"Deaths for ""Factories"" stored here.",Player,Resource
00582114,Number of Factories Razed,4,12,Simple Data,"Kills for ""Factories"" stored here.",Player,Resource
00582144,Zerg Control Available,4,12,Simple Data,"% 4 bytes per player  Despite being 4 bytes, the game wi...",Player,Resource
00582174,Zerg Control Used,4,12,Simple Data,"4 bytes per player  Despite being 4 bytes, the game will ...",Player,Resource
005821A4,Zerg Control Max,4,12,Simple Data,"4 bytes per player  Despite being 4 bytes, the game will ...",Player,Resource
005821D4,Terran Supply Available,4,12,Simple Data,"4 bytes per player  Despite being 4 bytes, the game will ...",Player,Resource
00582204,Terran Supply Used,4,12,Simple Data,"4 bytes per player  Despite being 4 bytes, the game will ...",Player,Resource
00582234,Terran Supply Max,4,12,Simple Data,"4 bytes per player  Despite being 4 bytes, the game will ...",Player,Resource
00582264,Protoss Psi Available,4,12,Simple Data,"4 bytes per player  Despite being 4 bytes, the game will ...",Player,Resource
00582294,Protoss Psi Used,4,12,Simple Data,"4 bytes per player  Despite being 4 bytes, the game will ...",Player,Resource
005822C4,Protoss Psi Max,4,12,Simple Data,"4 bytes per player  Despite being 4 bytes, the game will ...",Player,Resource
005822F4,Score Custom,4,12,Simple Data,,Player,Resource
00582324,All Unit Counts Table,48,228,Simple Data,"Counts per player, per unit   For each unit, 4 bytes per...",Player,Resource
00584DE4,Completed Unit Counts Table,48,228,Simple Data,"Counts per player, per unit  For each unit, 4 bytes per p...",Player,Resource
00585474,Larva Count,12,1,,(Why does this entry exist? Should be within the Completed ...,Player,Resource
005878A4,Killed Unit Counts Table,48,228,Simple Data,"Counts per player, per unit.  For each unit, 4 bytes per ...",Player,Resource
0058A364,Death Table Start,48,228,Simple Data,"Counts per player, per unit  First entry in the death tab...",Player,Resource
0058CE24,SC Technologies Available (0-23),24,12,Simple Data,% Table layout is reverse compared to deaths/kills table. ...,Player,Upgrade
0058CF44,SC Technologies Researched (0-23),24,12,Simple Data,[See SC Technologies Available] http://farty1billion.dyndn...,Player,Upgrade
0058D064,SC Tech Research In Progress,1,36,Simple Data,Who knows,Player,Upgrade
0058D088,SC Upgrades Available (0-45),46,12,Simple Data,Table layout is reverse compared to deaths/kills table.   ...,Player,Upgrade
0058D2B0,SC Upgrades Researched (0-45),46,12,Simple Data,Table layout is reverse compared to deaths/kills table.   ...,Player,Upgrade
0058D4D8,SC Upgrade in Progress Lvl 1 (Unused?),1,72,Simple Data,Who knows,Player,Upgrade
0058D520,SC Upgrade in Progress Lvl 2 (Unused?),1,72,Simple Data,Who knows,Player,Upgrade
0058D5B0,Player's Force,1,8,Simple Data,"8 bytes: 1 byte for each active player, specifying which o...",Player,Metadata
0058D5B8,Force Flags,1,4,Simple Data,4 bytes: 1 byte for each force specifying the flags; 	forc...,Player,Metadata
0058D5BC,Force Names,30,4,Simple Data,"4 byte integers: 1 integer for each force, string number o...",Player,Metadata
0058D634,Player Alliances,12,12,Simple Data,EPD 3252 + 0x00: P1 ally status to P1 + 0x01: P1 ally sta...,Player,State
0058D6C4,Mission Objectives Index,4,12,Simple Data,EPD 3288 (+0x00):  This is the Mission Objective String I...,Game,Rule
0058D6F4,Countdown Timer,4,1,Simple Data,Changing the value of this address with EUP or EUD is worth...,Player,State
0058D6F8,Elapsed Time,4,1,Simple Data,Game Seconds (1 Game Second = 16 Game Ticks = ~1072ms on no...,Game,Time
0058D6FC,SC Switch Table (Unused?),4,1,Simple Data,"32 switches, probably pre-1.04 when number of switches was ...",Game,Event
0058D700,Player Victory Status,1,8,Simple Data,,Player,State
0058D708,Leaderboard Has Computer Players,4,1,Simple Data,,Player,State
0058D70C,Leader Board Type,1,1,Simple Data,,Player,State
0058D70D,Leader Board Condition,1,1,Simple Data,,Player,State
0058D70E,Leader Board Subtype,2,1,Simple Data,,Player,State
0058D710,Leader Board Goal,4,1,Simple Data,,Player,State
0058D714,Leader Board String Index,4,1,Simple Data,,Player,State
0058D718,#'s of Game Pauses,1,8,Simple Data,The base value of this address is: (P1 + P2 + P3 + P4) * 3 ...,Player,State
0058D720,Start Locations,4,8,Simple Data,Point: u16 X u16 Y  EPD 3311 +0x00: P1 Start Location ...,Game,Map
0058D740,Vanilla Location Table,20,64,Simple Data,This Location Table is not used in the Expansion (Brood War...,Game,Map
0058DC40,Switch Table,32,1,Simple Data,+0x00 (EPD 3639) 	Switch 1: *1 	Switch 2: *2 	Switch 3: ...,Game,Map
0058DC60,Location Table,20,255,Simple Data,+0x00 (EPD 3647)  	This is the LEFT position of the locat...,Game,Map
0058F04C,Time Pause State,4,1,Simple Data,"If FALSE, the value of the address is 0, and the countdown ...",Game,Time
0058F050,BW Technologies Available (24-43),20,12,Simple Data,Table layout is reverse compared to deaths/kills table.  ...,Player,Upgrade
0058F140,BW Technologies Researched (24-43),20,12,Simple Data,Table layout is reverse compared to deaths/kills table.  ...,Player,Upgrade
0058F230,BW Tech Research In Progress,1,72,,[SCR: Simple data]  Who knows,Player,Upgrade
0058F278,BW Upgrades Available (46-60),15,12,Simple Data,Table layout is reverse compared to deaths/kills table.  ...,Player,Upgrade
0058F32C,BW Upgrades Researched (46-60),15,12,Simple Data,Table layout is reverse compared to deaths/kills table.  ...,Player,Upgrade
0058F3E0,BW Upgrade In Progress,1,96,Simple Data,Who knows,Player,Upgrade
0058F440,Is Expansion,1,1,Simple Data,1 if your game is using the Expansion set.,Game,Rule
0058F441,BWGame unk_10351,1,1,Simple Data,,Game,State
0058F442,Unknown Player Color Something,1,8,Simple Data,,Player,Metadata
0058F44A,"BWGame ""Literally Unused""",1,29604,Simple Data,,Game,State
005968A0,Input Procedures,4,19,,A list of functions that determine how user input is handle...,Client,Input
005968AC,Mouse Left Click,4,1,Unsupported,Detects the left click of a mouse.  Use only actions that...,Client,Input
00596904,Game Mode,2,1,Unsupported,"Determines the game's mode. In-Game, in-menu, battle.n...",Game,Rule
00596A18,Virtual Key Array,1,256,Backed By Code,An array containing the state of all the virtual key codes ...,Client,Input
00596CD8,CUWP properties,20,64,Unsupported,Same structure as UPRP section in scenario.chk       u16:...,Client,UI
005993C4,"Pointer to ""MTXM"" map tile data",4,1,Backed By Code,,Game,Map
005993D4,"Pointer to map ""STR "" section",4,1,Backed By Code,Pointer default: first string,Game,Map
0059BA5C,Game Subtype ID,4,1,,Subtype ID specified in GOT template.  Top Vs. Bottom: Nu...,Game,Rule
0059C080,Mapdata.dat - Mission dir,4,65,,Mapdata.tbl string index,Game,Map
0059CC78,Last Time for Drop Window,4,1,Simple Data,Last GetTickCount Win32 API Time for Drop Window shown.  ...,Client,UI
0059CC80,Drop Timer,4,1,Simple Data,The time remaining before a player is dropped.  See the a...,Client,UI
0059CCA8,Unitnode Table,336,1700,Backed By Code,[SCR: See individual entries]  See Unitnode Structure in ...,Engine,Struct
0059CCA8,CUnit - Previous Unit,4,1,Supported,,CUnit,Core
0059CCAC,CUnit - Next Unit,4,1,Supported,,CUnit,Core
0059CCB0,CUnit - HP,4,1,Supported,The amount of HP that a unit currently has.  Value displa...,CUnit,Core
0059CCB4,CUnit - Sprite,4,1,Supported,Pointer to CSprite. Contains the graphics of the unit.,CUnit,Interaction
0059CCB8,CUnit - Target Pos,2,2,Supported,X + 65536*Y,CUnit,Move
0059CCBC,CUnit - Target Unit,4,1,Supported,CUnit target pointer,CUnit,Combat
0059CCC0,CUnit - Next Movement Waypoint,2,2,Supported,0x0000FFFF x-coord 0xFFFF0000 y-coord  The next way poin...,CUnit,Move
0059CCC4,CUnit - Next Target Waypoint,4,1,Unsupported,0x0000FFFF x-coord 0xFFFF0000 y-coord  The desired posit...,CUnit,Move
0059CCC8,CUnit - Movement Flags,1,1,Supported,Flags that enable/disable certain movement. Need more testi...,CUnit,Move
0059CCC9,CUnit - Current Direction 1,1,1,Supported,256 directions starting from the top going clockwise. 0x00...,CUnit,Move
0059CCCA,CUnit - Flingy Turn Radius,1,1,Supported,"""The unit flips out when this is frozen on a specific ...",CUnit,Move
0059CCCB,CUnit - Velocity Direction 1,1,1,Supported,This usually only differs from the currentDirection field f...,CUnit,Move
0059CCCC,CUnit - Flingy ID,2,1,Supported,The Flingy ID of the unit.,CUnit,Move
0059CCCF,CUnit - Flingy Movement Type,1,1,Supported,The type of movement that the unit use (*16777216).,CUnit,Move
0059CCD0,CUnit - Position Coordinates,2,2,Supported,The coordinates of a unit on the map (X + 65536*Y).,CUnit,Move
0059CCD4,CUnit - Halt X Coordinate,4,1,Supported,The X coordinate of a unit on the map (*256).,CUnit,Move
0059CCD8,CUnit - Halt Y Coordinate,4,1,Supported,The Y coordinate of a unit on the map (*256).,CUnit,Move
0059CCDC,CUnit - Flingy Top Speed,4,1,Supported,,CUnit,Move
0059CCE0,CUnit - Move Acceleration,4,1,Supported,CUnit.current_speed1  Related to turning and from observa...,CUnit,Move
0059CCE4,CUnit - Move Speed,4,1,Supported,CUnit.current_speed2  The speed that the unit is currentl...,CUnit,Move
0059CCE8,CUnit - Move Speed On X-Axis,4,1,Supported,CUnit.current_speed.x  The speed that the unit is current...,CUnit,Move
